d,m,y,zona,tipo,nutri
20,12,2021,BSO,novillo,Muy Bueno
20,12,2021,BSO,ternero,Muy Bueno
18,11,2021,BR,vaca,Muy Bueno
18,11,2021,BR,toro,Muy Bueno
22,3,2022,BSO,vaca,Muy Bueno
22,3,2022,BSO,toro,Muy Bueno
1,6,2022,BSO,vaca,Muy Bueno
1,6,2022,BSO,vaca,Muy Bueno
1,6,2022,BSO,toro,Muy Bueno
1,6,2022,BSO,toro,Muy Bueno
1,6,2022,BSO,toro,Muy Bueno
1,6,2022,BSO,toro,Muy Bueno
1,6,2022,BSO,toro,Muy Bueno
1,6,2022,BSO,ternero,Muy Bueno
8,6,2022,BR,toro,Muy Bueno
8,6,2022,BR,toro,Muy Bueno
8,6,2022,BR,toro,Muy Bueno
8,6,2022,BR,toro,Muy Bueno
8,6,2022,BR,novillo,Muy Bueno
8,6,2022,BR,novillo,Muy Bueno
8,6,2022,BR,ternero,Muy Bueno
15,6,2022,BR,vaca,Muy Bueno
15,6,2022,BR,novillo,Muy Bueno
15,6,2022,BR,novillo,Muy Bueno
15,6,2022,BR,novillo,Muy Bueno
15,6,2022,BR,novillo,Muy Bueno
22,6,2022,BR,vaca,Muy Bueno
22,6,2022,BR,vaca,Muy Bueno
22,6,2022,BR,vaca,Muy Bueno
22,6,2022,BR,vaca,Muy Bueno
22,6,2022,BR,vaquillona,Muy Bueno
22,6,2022,BR,vaquillona,Muy Bueno
22,6,2022,BR,vaquillona,Muy Bueno
22,6,2022,BR,vaquillona,Muy Bueno
22,6,2022,BR,vaquillona,Muy Bueno
22,6,2022,BR,novillo,Muy Bueno
22,6,2022,BR,novillo,Muy Bueno
22,6,2022,BR,ternero,Muy Bueno
22,6,2022,BR,ternero,Muy Bueno
29,6,2022,BR,vaca,Muy Bueno
13,7,2022,BR,vaquillona,Muy Bueno
13,7,2022,BR,novillo,Muy Bueno
13,7,2022,BR,ternero,Muy Bueno
10,8,2022,BR,vaca,Muy Bueno
10,8,2022,BR,novillo,Muy Bueno
10,8,2022,BR,ternero,Muy Bueno
15,9,2022,Cris,vaca,Muy Bueno
15,9,2022,Cris,vaca,Muy Bueno
15,9,2022,Cris,vaca,Muy Bueno
15,9,2022,Cris,vaca,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,toro,Muy Bueno
15,9,2022,Cris,novillo,Muy Bueno
15,9,2022,Cris,novillo,Muy Bueno
15,9,2022,Cris,novillo,Muy Bueno
15,9,2022,Cris,ternero,Muy Bueno
29,9,2022,Btoro,toro,Muy Bueno
20,10,2022,BR,vaca,Muy Bueno
20,10,2022,BR,toro,Muy Bueno
20,10,2022,BR,novillo,Muy Bueno
20,10,2022,BR,ternero,Muy Bueno
20,10,2022,BR,ternero,Muy Bueno
20,10,2022,BR,ternero,Muy Bueno
20,10,2022,BR,ternero,Muy Bueno
11,12,2022,BSO,vaca,Muy Bueno
11,12,2022,BSO,vaca,Muy Bueno
11,12,2022,BSO,novillo,Muy Bueno
15,1,2023,BSO,toro,Muy Bueno
1,2,2023,BR,vaca,Muy Bueno
1,2,2023,BR,toro,Muy Bueno
1,2,2023,BR,toro,Muy Bueno
1,2,2023,BR,toro,Muy Bueno
1,2,2023,BR,novillo,Muy Bueno
1,2,2023,BR,novillo,Muy Bueno
1,2,2023,BR,novillo,Muy Bueno
8,2,2023,BR,toro,Muy Bueno
8,2,2023,BR,toro,Muy Bueno
8,2,2023,BR,toro,Muy Bueno
8,2,2023,BR,vaquillona,Muy Bueno
8,2,2023,BR,vaquillona,Muy Bueno
8,2,2023,BR,novillo,Muy Bueno
8,2,2023,BR,novillo,Muy Bueno
8,2,2023,BR,novillo,Muy Bueno
8,2,2023,BR,novillo,Muy Bueno
8,2,2023,BR,toro,Muy Bueno
8,2,2023,BR,toro,Muy Bueno
17,3,2023,BR,toro,Muy Bueno
21,3,2023,BR,vaca,Muy Bueno
21,3,2023,BR,vaca,Muy Bueno
21,3,2023,BR,vaca,Muy Bueno
21,3,2023,BR,vaquillona,Muy Bueno
21,3,2023,BR,vaquillona,Muy Bueno
21,3,2023,BR,ternero,Muy Bueno
21,3,2023,BR,ternero,Muy Bueno
10,4,2023,BR,vaca,Muy Bueno
10,4,2023,BR,vaca,Muy Bueno
10,4,2023,BR,toro,Muy Bueno
10,4,2023,BR,toro,Muy Bueno
10,4,2023,BR,toro,Muy Bueno
10,4,2023,BR,toro,Muy Bueno
10,4,2023,BR,ternero,Muy Bueno
20,4,2023,BR,vaca,Muy Bueno
20,4,2023,BR,toro,Muy Bueno
20,4,2023,BR,vaquillona,Muy Bueno
20,4,2023,BR,vaquillona,Muy Bueno
20,4,2023,BR,vaquillona,Muy Bueno
20,4,2023,BR,ternero,Muy Bueno
20,4,2023,BR,ternero,Muy Bueno
29,4,2023,BR,vaca,Muy Bueno
29,4,2023,BR,toro,Muy Bueno
29,4,2023,BR,vaquillona,Muy Bueno
29,4,2023,BR,ternero,Muy Bueno
9,5,2023,BR,toro,Muy Bueno
9,5,2023,BR,toro,Muy Bueno
23,5,2023,BR,vaca,Muy Bueno
23,5,2023,BR,toro,Muy Bueno
23,5,2023,BR,vaquillona,Muy Bueno
23,5,2023,BR,vaquillona,Muy Bueno
23,5,2023,BR,ternero,Muy Bueno
23,5,2023,BR,ternero,Muy Bueno
31,5,2023,BR,vaca,Muy Bueno
31,5,2023,BR,toro,Muy Bueno
31,5,2023,BR,toro,Muy Bueno
31,5,2023,BR,novillo,Muy Bueno
31,5,2023,BR,ternero,Muy Bueno
13,6,2023,BR,vaca,Muy Bueno
13,6,2023,BR,toro,Muy Bueno
13,6,2023,BR,vaquillona,Muy Bueno
13,6,2023,BR,ternero,Muy Bueno
21,6,2023,BR,vaca,Muy Bueno
21,6,2023,BR,vaca,Muy Bueno
21,6,2023,BR,vaca,Muy Bueno
21,6,2023,BR,toro,Muy Bueno
21,6,2023,BR,vaquillona,Muy Bueno
21,6,2023,BR,vaquillona,Muy Bueno
21,6,2023,BR,novillo,Muy Bueno
21,6,2023,BR,ternero,Muy Bueno
22,6,2023,BR,vaca,Muy Bueno
22,6,2023,BR,vaca,Muy Bueno
22,6,2023,BR,toro,Muy Bueno
22,6,2023,BR,ternero,Muy Bueno
22,6,2023,BR,ternero,Muy Bueno
24,6,2023,BR,vaquillona,Muy Bueno
24,6,2023,BR,vaquillona,Muy Bueno
1,7,2023,BR,vaca,Muy Bueno
1,7,2023,BR,vaca,Muy Bueno
1,7,2023,BR,novillo,Muy Bueno
1,7,2023,BR,novillo,Muy Bueno
5,7,2023,BR,vaquillona,Muy Bueno
5,7,2023,BR,vaquillona,Muy Bueno
5,7,2023,BR,vaquillona,Muy Bueno
5,7,2023,BR,novillo,Muy Bueno
8,7,2023,BR,toro,Muy Bueno
8,7,2023,BR,novillo,Muy Bueno
15,7,2023,BSO,toro,Muy Bueno
15,7,2023,BSO,novillo,Muy Bueno
20,7,2023,BR,vaquillona,Muy Bueno
24,7,2023,BR,vaca,Muy Bueno
24,7,2023,BR,vaquillona,Muy Bueno
24,7,2023,BR,vaquillona,Muy Bueno
24,7,2023,BR,novillo,Muy Bueno
4,8,2023,BR,toro,Muy Bueno
9,8,2023,BR,toro,Muy Bueno
9,8,2023,BR,toro,Muy Bueno
19,8,2023,BSO,vaca,Muy Bueno
19,8,2023,BSO,vaca,Muy Bueno
19,8,2023,BSO,toro,Muy Bueno
19,8,2023,BSO,vaquillona,Muy Bueno
19,8,2023,BSO,vaquillona,Muy Bueno
19,8,2023,BSO,ternero,Muy Bueno
19,8,2023,BSO,ternero,Muy Bueno
30,8,2023,BR,toro,Muy Bueno
8,9,2023,BR,vaca,Muy Bueno
8,9,2023,BR,toro,Muy Bueno
8,9,2023,BR,toro,Muy Bueno
8,9,2023,BR,toro,Muy Bueno
8,9,2023,BR,novillo,Muy Bueno
8,9,2023,BR,novillo,Muy Bueno
8,9,2023,BR,ternero,Muy Bueno
8,9,2023,BR,ternero,Muy Bueno
22,9,2023,BR,vaca,Muy Bueno
22,9,2023,BR,toro,Muy Bueno
22,9,2023,BR,vaquillona,Muy Bueno
22,9,2023,BR,vaquillona,Muy Bueno
22,9,2023,BR,vaquillona,Muy Bueno
22,9,2023,BR,vaquillona,Muy Bueno
22,9,2023,BR,vaquillona,Muy Bueno
22,9,2023,BR,ternero,Muy Bueno
28,9,2023,BR,vaca,Regular
28,9,2023,BR,vaca,Regular
28,9,2023,BR,vaca,Regular
28,9,2023,BR,toro,Regular
28,9,2023,BR,toro,Regular
28,9,2023,BR,novillo,Regular
28,9,2023,BR,novillo,Regular
4,10,2023,BSS,toro,Muy Bueno
4,10,2023,BSS,toro,Muy Bueno
4,10,2023,BSS,novillo,Muy Bueno
4,10,2023,BSS,novillo,Muy Bueno
13,10,2023,BSS,vaca,Muy Bueno
13,10,2023,BSS,vaquillona,Muy Bueno
6,12,2023,BR,toro,Muy Bueno
6,12,2023,BR,vaquillona,Muy Bueno
15,12,2023,BR,toro,Muy Bueno
15,12,2023,BR,toro,Muy Bueno
15,12,2023,BR,vaquillona,Muy Bueno
3,1,2024,BR,vaca,Muy Bueno
3,1,2024,BR,toro,Muy Bueno
3,1,2024,BR,toro,Muy Bueno
3,1,2024,BR,toro,Muy Bueno
3,1,2024,BR,ternero,Muy Bueno
14,2,2024,BR,vaca,Muy Bueno
14,2,2024,BR,novillo,Muy Bueno
18,3,2024,BR,vaca,Muy Bueno
18,3,2024,BR,novillo,Muy Bueno
18,3,2024,BR,novillo,Muy Bueno
18,3,2024,BR,ternero,Muy Bueno
9,4,2024,BR,vaca,Muy Bueno
9,4,2024,BR,vaca,Muy Bueno
9,4,2024,BR,vaca,Muy Bueno
9,4,2024,BR,vaca,Muy Bueno
9,4,2024,BR,vaca,Muy Bueno
9,4,2024,BR,toro,Muy Bueno
9,4,2024,BR,toro,Muy Bueno
9,4,2024,BR,toro,Muy Bueno
9,4,2024,BR,toro,Muy Bueno
9,4,2024,BR,vaquillona,Muy Bueno
9,4,2024,BR,vaquillona,Muy Bueno
9,4,2024,BR,novillo,Muy Bueno
9,4,2024,BR,novillo,Muy Bueno
9,4,2024,BR,ternero,Muy Bueno
18,8,2024,BR,toro,Muy Bueno
18,8,2024,BR,toro,Muy Bueno
21,8,2024,BR,novillo,Muy Bueno
21,8,2024,BR,ternero,Muy Bueno
27,8,2024,BR,novillo,Muy Bueno
30,10,2024,BSE,vaca,Muy Bueno
30,10,2024,BSE,toro,Muy Bueno
30,10,2024,BSE,novillo,Muy Bueno
30,10,2024,BSE,novillo,Muy Bueno
20,11,2024,BSE,vaquillona,Regular
27,11,2024,BR,toro,Muy Bueno
27,11,2024,BR,toro,Muy Bueno
27,11,2024,BR,vaquillona,Muy Bueno
27,11,2024,BR,ternero,Muy Bueno
27,11,2024,BR,ternero,Muy Bueno
15,1,2025,BR,vaca,Muy Bueno
15,1,2025,BR,toro,Muy Bueno
15,1,2025,BR,novillo,Muy Bueno
5,2,2025,BR,toro,Muy Bueno
5,2,2025,BR,novillo,Muy Bueno
20,2,2025,BSO,toro,Muy Bueno
5,5,2025,BR,vaca,Muy Bueno
5,5,2025,BR,toro,Muy Bueno
5,5,2025,BR,vaquillona,Muy Bueno
5,5,2025,BR,vaquillona,Muy Bueno
5,5,2025,BR,ternero,Muy Bueno
24,5,2025,BR,toro,Muy Bueno
30,8,2025,BSS,vaca,Muy Bueno
30,8,2025,BSS,vaca,Muy Bueno
30,8,2025,BSS,toro,Muy Bueno
30,8,2025,BSS,novillo,Muy Bueno
30,8,2025,BSS,novillo,Muy Bueno
21,9,2025,BSO,toro,Muy Bueno
29,11,2025,BSS,toro,Muy Bueno
29,11,2025,BSS,toro,Muy Bueno
