Idsalida,d,m,y,zona,ycodif,WPT,impactos,dientes,edad,sexo,altocruz,anchocruz,largo,CE,nutri,abertura,extrmuni,fotogral,fotodent,preñez
20190702BSO,02,07,2019,BSO,4,BSO81,2,8,5,H,133,92,238,NA,NA,si,NO,SI,SI,si
20190702BSO,02,07,2019,BSO,4,BSO82,4,4,3,M,140,88,238,37,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO83,2,DL,1,H,93,59,150,NA,NA,si,NO,SI,SI,no
20190702BSO,02,07,2019,BSO,4,BSO84,2,8,5,M,150,43,270,35,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO85,2,8,5,H,112,77,212,NA,NA,si,NO,SI,SI,si
20190702BSO,02,07,2019,BSO,4,BSO86,2,DL,1,M,102,70,167,18,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO87,2,6,4,M,143,91,245,30,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO88,2,8,5,M,145,105,258,38,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO89,2,4,3,H,128,88,231,29,NA,si,NO,SI,SI,si
20190704BSO,04,07,2019,BSO,4,BSO90,2,8,5,M,132,83,265,37,NA,si,NO,SI,SI,NC
20190704BSO,04,07,2019,BSO,4,BSO91,3,8,5,M,150,108,279,39,NA,si,NO,SI,SI,NC
20190704BSO,04,07,2019,BSO,4,BSO92,2,8,5,M,148,112,286,NA,NA,si,NO,SI,SI,NC
20190712BSO,12,07,2019,BSO,4,BSO93,3,DL,1,H,125,85,175,NA,MB,si,NO,SI,SI,no
20190712BSO,12,07,2019,BSO,4,BSO94,3,DL,1,H,114,75,192,NA,MB,si,NO,SI,SI,no
20190712BSO,12,07,2019,BSO,4,BSO95,3,DL,1,M,125,74,225,NA,MB,si,NO,SI,SI,NC
20190712BSO,12,07,2019,BSO,4,BSO96,1,2,2,M,130,93,215,32,MB,si,NO,SI,SI,NC
20190812BSO,12,08,2019,BSO,4,BSO97,4,8,5,M,138,102,255,36,MB,SI,NO,SI,SI,NC
20190812BSO,12,08,2019,BSO,4,BSO98,2,8,5,H,128,88,240,NA,R,SI,NO,SI,SI,no
20190814BSO,14,08,2019,BSO,4,BSO99,,DL,1,H,NA,NA,NA,NA,NA,NO,NO,SI,SI,no
20190814BSO,14,08,2019,BSO,4,BSO100,5,8,5,M,160,111,267,37,MB,SI,NO,SI,SI,NC
20190814BSO,14,08,2019,BSO,4,BSO101,3,DL,1,H,108,73,172,20,MB,SI,NO,SI,SI,no
20190820BSO,20,08,2019,BSO,4,BSO102,2,8,5,H,134,93,237,NA,R,SI,NO,SI,SI,si
20190828BSO,28,08,2019,BSO,4,BSO103,4,8,5,M,110,272,150,34,MB,SI,NO,SI,SI,NC
20190829BSO,29,08,2019,BSO,4,BSO104,6,8,5,M,145,105,270,33,MB,SI,NO,SI,SI,NC
20190904BSO,04,09,2019,BSO,4,BSO105,2,DL,1,H,121,87,213,NA,MB,SI,NO,SI,SI,no
20190904BSO,04,09,2019,BSO,4,BSO106,3,8,5,H,126,98,229,NA,MB,SI,NO,SI,SI,si
20190923BSO,23,09,2019,BSO,4,BSO107,2,4,3,M,140,96,229,35,MB,SI,NO,SI,SI,NC
20190923BSO,23,09,2019,BSO,4,BSO108,5,6,4,M,145,112,251,36,MB,SI,NO,SI,SI,NC
20190930BSO,30,09,2019,BSO,4,BSO109,1,8,5,H,125,86,213,NA,MB,SI,NO,SI,SI,si
20190930BSO,30,09,2019,BSO,4,BSO110,1,8,5,H,139,103,245,NA,MB,SI,NO,SI,SI,si
20191015BSO,15,10,2019,BSO,4,BSO111,4,8,5,M,139,104,253,38,MB,SI,NO,SI,SI,NC
20160321BR,21,03,2016,BR,1,BR1,2,8,5,H,150,120,242,NA,MB,NO,NO,SI,SI,si
20160321BR,21,03,2016,BR,1,BR2,1,8,5,H,148,105,244,NA,MB,NO,NO,SI,NO,no
20160321BR,21,03,2016,BR,1,BR3,1,8,5,M,170,110,275,NA,MB,SI,NO,SI,NO,NC
20160321BR,21,03,2016,BR,1,BR4,1,8,5,M,153,150,269,NA,MB,SI,NO,SI,SI,NC
20160331BR,31,03,2016,BR,1,BR5,3,8,5,M,167,126,272,NA,R,SI,NO,si,si,NC
20160331BR,31,03,2016,BR,1,BR6,3,8,5,H,135,104,232,NA,R,SI,NO,SI,no,si
20160415BR,15,04,2016,BR,1,BR7,1,DL,1,H,124,73,194,NA,R,SI,NO,si,si,no
20160415BR,15,04,2016,BR,1,BR8,2,8,5,M,170,115,285,NA,MB,SI,NO,si,si,NC
20160415BR,15,04,2016,BR,1,BR9,2,6,4,M,150,102,268,NA,MB,SI,NO,si,si,NC
20160416BR,16,04,2016,BR,1,BR10,1,8,5,M,165,110,290,NA,MB,SI,NO,si,si,NC
20160425BR,25,04,2016,BR,1,BR11,1,8,5,M,166,120,265,NA,MB,SI,NO,si,si,NC
20160425BR,25,04,2016,BR,1,BR12,1,8,5,M,NA,NA,NA,NA,MB,SI,NO,si,si,NC
20160425BR,25,04,2016,BR,1,BR13,2,4,3,M,NA,NA,NA,NA,MB,SI,NO,si,si,NC
20160426BR,26,04,2016,BR,1,BR14,2,2,2,H,125,93,224,NA,MB,SI,NO,si,si,no
20160426BR,26,04,2016,BR,1,BR15,2,8,5,M,130,93,230,NA,MB,SI,NO,si,si,NC
20160426BR,26,04,2016,BR,1,BR16,2,8,5,M,134,80,212,NA,MB,SI,NO,si,si,NC
20160426BR,26,04,2016,BR,1,BR17,2,8,5,M,159,114,290,NA,MB,NO,NO,si,si,NC
20160513BR,13,05,2016,BR,1,BR18,3,8,5,M,125,115,270,NA,MB,SI,NO,si,si,NC
20160514BR,14,05,2016,BR,1,BR19,3,4,3,M,150,110,310,NA,MB,SI,NO,si,si,NC
20160527BR,27,05,2016,BR,1,BR20,1,DL,1,M,105,60,150,17,MB,SI,NO,si,si,NC
20160527BR,27,05,2016,BR,1,BR21,2,6,4,H,133,90,231,NA,MB,SI,NO,si,si,no
20160527BR,27,05,2016,BR,1,BR22,1,8,5,H,134,90,231,NA,MB,SI,NO,si,si,si
20160527BR,27,05,2016,BR,1,BR23,2,8,5,M,125,88,226,27,MB,SI,NO,si,si,NC
20160527BR,27,05,2016,BR,1,BR24,2,8,5,H,122,93,250,NA,MB,SI,NO,si,NO,si
20160527BR,27,05,2016,BR,1,BR25,1,DL,1,H,199,74,204,NA,MB,SI,NO,si,si,no
20160528BR,28,05,2016,BR,1,BR26,4,8,5,M,153,115,260,42,MB,SI,NO,si,si,NC
20160604BR,04,06,2016,BR,1,BR27,2,8,5,H,140,108,235,NA,MB,SI,NO,si,si,no
20160604BR,04,06,2016,BR,1,BR28,4,8,5,H,135,103,237,NA,MB,SI,NO,si,si,no
20160604BR,04,06,2016,BR,1,BR29,1,4,3,M,160,104,235,38,MB,SI,NO,si,si,NC
20160605BR,05,06,2016,BR,1,BR30,2,DL,1,H,125,88,226,NA,MB,SI,NO,si,si,no
20160605BR,05,06,2016,BR,1,BR31,1,8,5,H,142,92,220,NA,MB,SI,NO,si,si,no
20160605BR,05,06,2016,BR,1,BR32,3,DL,1,H,110,74,182,NA,MB,SI,NO,si,si,no
20160605BR,05,06,2016,BR,1,BR33,2,8,5,H,110,73,178,NA,MB,SI,NO,si,si,no
20160605BR,05,06,2016,BR,1,BR34,2,DL,1,H,117,72,175,NA,MB,SI,NO,si,si,no
20160609BR,09,06,2016,BR,1,BR35,3,8,5,M,120,74,196,26,MB,SI,NO,si,si,NC
20160609BR,09,06,2016,BR,1,BR36,1,8,5,H,138,90,250,NA,MB,SI,NO,si,si,si
20160624BR,24,06,2016,BR,1,BR37,3,8,5,M,135,92,240,31,R,SI,NO,SI,SI,NC
20160701BR,01,07,2016,BR,1,BR38,1,DL,1,M,125,76,162,NA,MB,SI,NO,SI,SI,NC
20160702BR,02,07,2016,BR,1,BR39,1,DL,1,H,137,81,220,28,D,SI,NO,SI,SI,no
20160707BR,07,07,2016,BR,1,BR40,1,8,5,M,160,110,280,39,MB,SI,NO,SI,SI,NC
20160707BR,07,07,2016,BR,1,BR41,1,6,4,M,158,107,272,31,MB,SI,NO,SI,SI,NC
20160707BR,07,07,2016,BR,1,BR42,2,8,5,M,134,87,233,28,MB,SI,NO,SI,SI,NC
20160723BR,23,07,2016,BR,1,BR43,2,4,3,M,150,99,252,34,MB,SI,NO,SI,SI,NC
20160723BR,23,07,2016,BR,1,BR44,1,4,3,M,153,111,266,34,MB,SI,NO,SI,SI,NC
20160724BR,24,07,2016,BR,1,BR45,3,DL,1,M,NA,NA,NA,NA,NA,,,,,NC
20160724BR,24,07,2016,BR,1,BR46,3,NA,1,M,NA,NA,NA,NA,NA,,,,,NC
20160815BR,15,08,2016,BR,1,BR47,3,2,2,H,133,84,215,NA,MB,SI,NO,SI,SI,no
20160815BR,15,08,2016,BR,1,BR48,1,DL,1,H,102,55,178,NA,MB,SI,NO,SI,SI,no
20160815BR,15,08,2016,BR,1,BR49,2,4,3,H,136,93,225,NA,R,SI,NO,SI,SI,no
20160815BR,15,08,2016,BR,1,BR50,4,8,5,M,154,100,264,26,MB,SI,NO,SI,SI,NC
20160815BR,15,08,2016,BR,1,BR51,2,8,5,M,165,113,270,24,MB,SI,NO,SI,SI,NC
20160815BR,15,08,2016,BR,1,BR52,4,8,5,M,150,112,278,28,MB,SI,NO,SI,SI,NC
20160923BR,23,09,2016,BR,1,BR53,2,4,3,M,145,90,222,35,MB,SI,NO,SI,SI,NC
20160923BR,23,09,2016,BR,1,BR54,2,8,5,M,160,104,260,36,D,SI,NO,SI,SI,NC
20160924BR,24,09,2016,BR,1,BR55,2,8,5,M,166,116,246,39,MB,SI,NO,SI,SI,NC
20160924BR,24,09,2016,BR,1,BR56,3,6,4,M,150,102,240,33,MB,SI,NO,SI,SI,NC
20160924BR,24,09,2016,BR,1,BR57,2,8,5,H,136,82,236,NA,D,SI,NO,SI,SI,no
20160924BR,24,09,2016,BR,1,BR58,2,8,5,M,153,104,285,30,D,SI,NO,SI,SI,NC
20160930BR,30,09,2016,BR,1,BR59,2,DL,1,H,120,73,220,NA,MB,SI,SI,SI,SI,no
20160930BR,30,09,2016,BR,1,BR60,1,8,5,H,133,95,227,NA,MB,SI,NO,SI,SI,si
20161001BR,01,10,2016,BR,1,BR61,2,8,5,H,140,87,240,NA,MB,SI,NO,SI,SI,no
20161023BR,23,10,2016,BR,1,BR62,1,4,3,H,130,82,222,NA,D,SI,NO,SI,SI ,no
20161023BR,23,10,2016,BR,1,BR63,2,8,5,M,166,108,275,39,MB,SI,NO,SI,SI ,NC
20161023BR,23,10,2016,BR,1,BR64,1,8,5,M,169,111,274,35,MB,SI,NO,SI,SI ,NC
20161023BR,23,10,2016,BR,1,BR65,2,4,3,M,150,87,243,34,MB,SI,NO,SI,SI ,NC
20161023BR,23,10,2016,BR,1,BR66,3,8,5,H,112,92,195,NA,MB,SI,NO,SI,SI ,no
20161023BR,23,10,2016,BR,1,BR67,2,8,5,H,135,108,234,NA,MB,SI,NO,SI,SI ,no
20161023BR,23,10,2016,BR,1,BR68,2,DL,1,M,75,44,102,NA,MB,SI,NO,SI,SI ,NC
20161029BR,29,10,2016,BR,1,BR69,2,2,2,H,134,80,220,NA,MB,SI,,,,no
20161030BR,30,10,2016,BR,1,BR70,1,8,5,H,133,80,220,NA,R,SI,NO,SI,SI ,no
20161030BR,30,10,2016,BR,1,BR71,1,2,2,M,137,86,228,26,MB,SI,NO,SI,SI ,NC
20161030BR,30,10,2016,BR,1,BR72,1,8,5,H,137,81,237,NA,R,NO,NO,SI,SI ,no
20161030BR,30,10,2016,BR,1,BR73,1,8,5,H,142,89,237,NA,MB,SI,NO,SI,SI ,no
20161030BR,30,10,2016,BR,1,BR74,1,DL,5,M,94,50,168,NA,NA,NO,NO,SI,SI,NC
20161105BR,05,11,2016,BR,1,BR75,2,DL,1,H,112,68,179,NA,MB,SI,NO,SI,SI ,no
20161118BR,18,11,2016,BR,1,BR76,2,DL,1,M,113,66,170,20,D,SI,NO,SI,SI ,NC
20161119BR,19,11,2016,BR,1,BR77,1,4,3,M,157,112,259,34,MB,NO,NO,SI ,SI ,NC
20161119BR,19,11,2016,BR,1,BR78,1,2,2,H,127,83,211,NA,MB,NO,NO,SI ,SI ,no
20161119BR,19,11,2016,BR,1,BR79,1,8,5,H,140,88,234,NA,MB,SI,NO,SI,SI ,no
20161119BR,19,11,2016,BR,1,BR80,2,DL,1,H,127,75,188,NA,MB,SI,NO,SI,SI ,no
20161119BR,19,11,2016,BR,1,BR81,1,2,2,M,150,104,240,31,MB,SI,NO,SI,SI ,NC
20161120BR,20,11,2016,BR,1,BR82,1,DL,1,M,126,74,202,NA,MB,SI,NO,SI,SI ,NC
20161120BR,20,11,2016,BR,1,BR83,1,DL,1,H,124,70,187,25,MB,SI,NO,SI,SI ,no
20161126BR,26,11,2016,BR,1,BR84,1,6,4,M,155,98,270,34,MB,SI,NO,SI,SI ,NC
20161126BR,26,11,2016,BR,1,BR85,2,8,5,H,138,90,238,NA,MB,SI,NO,SI,SI ,no
20161130BR,30,11,2016,BR,1,BR86,4,8,5,H,134,85,240,NA,MB,NO,NO,SI,SI ,no
20161207BR,07,12,2016,BR,1,BR87,2,DL,1,M,119,79,197,26,MB,SI,NO,SI,SI ,NC
20161207BR,07,12,2016,BR,1,BR88,3,DL,1,M,107,64,179,23,MB,SI,NO,SI,SI ,NC
20161217BR,17,12,2016,BR,1,BR89,2,6,4,H,133,93,232,NA,MB,SI,NO,SI,SI,si
20161223BR,23,12,2016,BR,1,BR90,1,8,5,M,157,122,269,33,MB,SI,NO,SI,SI,NC
20161223BR,23,12,2016,BR,1,BR91,5,8,5,M,168,108,290,34,MB,SI,NO,SI,SI,NC
20161223BR,23,12,2016,BR,1,BR92,2,8,5,H,NA,NA,NA,NA,NA,NO,NO,,,no
20161228BR,28,12,2016,BR,1,BR93,6,6,4,M,144,108,250,36,MB,SI,SI,,,NC
20161228BR,28,12,2016,BR,1,BR94,2,4,3,H,129,90,252,NA,MB,SI,NO,,,no
20161228BR,28,12,2016,BR,1,BR95,2,8,5,M,150,110,275,36,MB,SI,NO,SI,SI,NC
20161231BR,31,12,2016,BR,1,BR96,4,8,5,M,155,126,240,26,MB,SI,NO,SI,SI,NC
20161231BR,31,12,2016,BR,1,BR97,5,8,5,M,152,115,270,31,MB,SI,NO,SI,SI,NC
20161231BR,31,12,2016,BR,1,BR98,4,8,5,M,170,122,286,25,MB,SI,NO,SI,SI,NC
20161231BR,31,12,2016,BR,1,BR99,1,8,5,M,162,107,290,39,MB,SI,NO,SI,SI,NC
20170104BR,04,01,2017,BR,2,BR100,4,8,5,H,132,87,245,NA,MB,SI,NO,SI,SI,no
20170104BR,04,01,2017,BR,2,BR101,2,DL,1,M,121,80,198,24,MB,SI,NO,SI,SI,NC
20170106BR,06,01,2017,BR,2,BR102,2,DL,1,H,84,52,120,NA,MB,SI,NO,SI,SI,no
20170106BR,06,01,2017,BR,2,BR103,1,DL,1,M,101,56,150,14,MB,SI,NO,SI,SI,NC
20170106BR,06,01,2017,BR,2,BR104,1,DL,1,M,80,44,108,9,MB,SI,NO,SI,SI,NC
20170114BR,14,01,2017,BR,2,BR105,2,DL,1,M,133,84,215,31,NA,NO,NO,SI,SI,NC
20170114BR,14,01,2017,BR,2,BR106,1,2,2,M,140,97,240,33,NA,SI,NO,SI,SI,NC
20170114BR,14,01,2017,BR,2,BR107,4,8,1,M,157,121,278,40,MB,SI,NO,SI,SI,NC
20170114BR,14,01,2017,BR,2,BR108,2,DL,1,M,108,71,178,17,NA,SI,NO,SI,SI,NC
20170118BR,18,01,2017,BR,2,BR109,2,8,5,M,128,89,279,37,MB,SI,NO,SI,SI,NC
20170126BR,26,01,2017,BR,2,BR110,3,8,5,H,133,82,241,NA,MB,SI,NO,SI,SI,no
20170126BR,26,01,2017,BR,2,BR111,3,8,5,H,140,90,225,NA,MB,SI,NO,SI,SI,no
20170126BR,26,01,2017,BR,2,BR112,3,8,5,H,134,93,278,NA,MB,SI,NO,SI,SI,no
20170126BR,26,01,2017,BR,2,BR113,1,DL,1,M,98,67,159,16,MB,SI,NO,SI,SI,NC
20170126BR,26,01,2017,BR,2,BR114,1,DL,1,M,98,69,172,17,MB,SI,NO,SI,SI,NC
20170126BR,26,01,2017,BR,2,BR115,1,DL,1,M,98,69,178,18,MB,SI,NO,SI,SI,NC
20170127BR,27,01,2017,BR,2,BR116,2,8,5,M,98,114,274,42,MB,SI,NO,SI,SI,NC
20170127BR,27,01,2017,BR,2,BR117,3,8,5,H,98,85,195,NA,MB,SI,NO,SI,NO,no
20170131BR,31,01,2017,BR,2,BR118,2,8,5,H,98,86,252,NA,MB,SI,NO,SI,SI,no
20170131BR,31,01,2017,BR,2,BR119,2,8,5,M,98,89,202,28,MB,SI,NO,SI,SI,NC
20170131BR,31,01,2017,BR,2,BR120,1,8,5,M,98,79,183,28,MB,SI,NO,SI,SI,NC
20170131BR,31,01,2017,BR,2,BR121,2,2,2,H,98,89,242,NA,MB,SI,NO,SI,SI,no
20170202BR,02,02,2017,BR,2,BR122,2,DL,1,M,98,63,155,14,MB,SI,NO,SI,SI,NC
20170202BR,02,02,2017,BR,2,BR123,3,8,5,M,98,107,273,39,MB,SI,NO,SI,SI,NC
20170202BR,02,02,2017,BR,2,BR124,2,8,5,M,98,118,278,40,MB,NO,NO,SI,SI,NC
20170210BR,10,02,2017,BR,2,BR125,1,8,5,H,140,90,254,NA,MB,SI,NO,SI,SI,no
20170220BR,20,02,2017,BR,2,BR126,1,DL,1,H,122,78,220,NA,MB,SI,NO,SI,SI,no
20170303BR,03,03,2017,BR,2,BR127,4,8,5,M,145,105,259,36,MB,SI,NO,SI,SI,NC
20170303BR,03,03,2017,BR,2,BR128,3,2,2,M,148,115,270,34,MB,SI,NO,SI,SI,NC
20170304BR,04,03,2017,BR,2,BR129,2,8,5,M,163,105,270,34,MB,SI,NO,SI,SI,NC
20170312BR,12,03,2017,BR,2,BR130,1,4,3,M,160,108,271,40,MB,SI,NO,SI,SI,NC
20160326BR,26,03,2016,BR,1,BR131,4,8,5,M,150,114,280,40,MB,SI,NO,SI,SI,NC
20160326BR,26,03,2016,BR,1,BR132,2,4,4,H,150,100,233,NA,MB,SI,NO,SI,SI,no
20170327BR,27,03,2017,BR,2,BR133,3,NA,1,M,103,65,160,NA,MB,si,no,si,si,NC
20170330BR,30,03,2017,BR,2,BR134,1,DL,1,H,96,66,169,NA,MB,si,no,si,si,no
20170330BR,30,03,2017,BR,2,BR135,2,6,4,H,114,75,215,NA,MB,si,no,si,si,no
20170403BR,03,04,2017,BR,2,BR136,1,8,5,H,142,91,220,NA,R,SI,NO,SI,NO,no
20170403BR,03,04,2017,BR,2,BR137,2,2,2,H,146,96,242,NA,R,SI,NO,SI,SI,si
20170403BR,03,04,2017,BR,2,BR138,1,DL,1,H,74,41,114,NA,NA,NO,NO,SI,NO,no
20170417BR,17,04,2017,BR,2,BR139,1,8,5,M,148,92,203,27,MB,SI,NO,SI,SI,NC
20170417BR,17,04,2017,BR,2,BR140,1,4,3,H,141,91,239,NA,R,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR141,1,DL,1,M,128,79,217,27,MB,SI,NO,SI,SI,NC
20170417BR,17,04,2017,BR,2,BR142,3,DL,1,M,129,88,196,20,MB,SI,NO,SI,SI,NC
20170417BR,17,04,2017,BR,2,BR143,2,8,5,H,140,94,236,NA,MB,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR144,1,8,5,H,132,104,241,NA,MB,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR145,2,8,5,H,150,104,240,NA,MB,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR146,1,DL,1,H,135,88,202,NA,MB,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR147,2,2,2,H,140,94,217,NA,MB,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR148,1,8,5,H,136,91,214,NA,MB,SI,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR149,1,6,4,M,157,108,266,37,MB,SI,NO,SI,SI,NC
20170417BR,17,04,2017,BR,2,BR150,1,8,5,H,135,88,240,NA,MB,NO,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR151,2,6,4,H,121,63,238,NA,MB,NO,NO,SI,SI,no
20170417BR,17,04,2017,BR,2,BR152,2,DL,1,H,96,85,212,NA,MB,NO,NO,SI,SI,no
20170512BR,12,05,2017,BR,2,BR153,3,DL,1,M,113,77,180,NA,MB,SI,NO,SI,SI,NC
20170512BR,12,05,2017,BR,2,BR154,1,8,5,M,164,110,208,33,MB,SI,NO,SI,SI,NC
20170512BR,12,05,2017,BR,2,BR155,2,8,5,M,151,105,269,37,MB,SI,NO,SI,SI,NC
20170512BR,12,05,2017,BR,2,BR156,2,8,5,M,145,106,212,36,MB,SI,NO,SI,SI,NC
20170512BR,12,05,2017,BR,2,BR157,1,8,5,M,148,101,218,30,MB,SI,NO,SI,SI,NC
20170520BR,20,05,2017,BR,2,BR158,2,2,2,M,132,97,232,NA,NA,no,no,si,si,NC
20170528BR,28,05,2017,BR,2,BR159,2,2,2,H,133,91,229,NA,MB,SI,NO,SI,SI,no
20170528BR,28,05,2017,BR,2,BR160,2,8,5,M,157,116,271,NA,MB,SI,NO,SI,SI,NC
20170528BR,28,05,2017,BR,2,BR161,1,6,4,H,139,89,219,NA,MB,SI,NO,SI,SI,no
20170528BR,28,05,2017,BR,2,BR162,2,4,4,M,NA,NA,252,39,MB,SI,NO,SI,SI,NC
20170604BR,04,06,2017,BR,2,BR163,2,4,4,M,155,97,241,32,MB,si,no,si,si,NC
20170604BR,04,06,2017,BR,2,BR164,1,8,5,M,159,112,272,35,MB,si,no,si,si,NC
20170619BR,19,06,2017,BR,2,BR 165,1,4,3,M,148,55,235,30,MB,si,no,,,NC
20170619BR,19,06,2017,BR,2,BR 166,2,4,3,M,147,102,230,30,MB,si,no,,,NC
20170619BR,19,06,2017,BR,2,BR 167,2,2,2,M,136,85,226,24,MB,si,no,,,NC
20170619BR,19,06,2017,BR,2,BR 168,1,8,5,M,148,110,298,35,MB,,no,,,NC
20170619BR,19,06,2017,BR,2,BR 169,2,8,5,M,120,112,298,NA,MB,,no,,,NC
20170619BR,19,06,2017,BR,2,BR 170,1,4,3,M,151,108,213,NA,MB,no,no,no,no,NC
20170625BR,25,06,2017,BR,2,BR 171,2,8,5,M,160,116,278,39,MB,si,no,si,si,NC
20170701BR,01,07,2017,BR,2,BR172,1,6,4,M,159,111,300,34,MB,SI,NO,SI,SI,NC
20170702BR,02,07,2017,BR,2,BR173,2,DL,1,M,138,84,211,28,MB,si,no,si,si,NC
20170715BR,15,07,2017,BR,2,BR174,1,4,2,H,134,90,223,NA,D,SI,NO,SI,SI,si
20170715BR,15,07,2017,BR,2,BR175,2,8,5,H,141,95,242,NA,MB,si,no,si,si,si
20170716BR,16,07,2017,BR,2,BR176,2,2,1,H,127,82,230,NA,MB,si,no,si,si,no
20170722BR,22,07,2017,BR,2,BR177,1,6,4,M,136,97,242,NA,MB,si,no,si,si,NC
20170729BR,29,07,2017,BR,2,BR178,,8,5,M,160,120,276,NA,MB,no,S,si,si,NC
20170806BR,06,08,2017,BR,2,BR179,1,8,5,H,132,87,229,NA,R,si,no,si,si,si
20170829BR,29,08,2017,BR,2,BR180,2,DL,1,H,121,77,187,NA,MB,SI,NO,SI,SI,no
20170903BR,03,09,2017,BR,2,BR181,2,DL,1,H,137,85,200,NA,MB,si,no,si,si,no
20170903BR,03,09,2017,BR,2,BR182,3,DL,1,H,112,73,196,NA,MB,si,no,si,si,no
20170903BR,03,09,2017,BR,2,BR183,3,8,5,H,138,83,232,NA,MB,si,no,si,si,si
20170905BR,05,09,2017,BR,2,BR184,2,6,4,M,137,109,310,33,MB,SI,NO,NO,SI,NC
20170916BR,16,09,2017,BR,2,BR185,1,DL,1,M,127,77,117,26,MB,SI,NO,SI,SI,NC
20170916BR,16,09,2017,BR,2,BR186,1,DL,1,H,110,66,168,NA,D,,NO,SI,SI,no
20170916BR,16,09,2017,BR,2,BR187,2,DL,1,M,126,71,165,27,MB,,NO,SI,SI,NC
20170923BR,23,09,2017,BR,2,BR188,1,8,5,H,135,88,244,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR189,1,DL,1,M,121,74,194,28,MB,SI,NO,SI,SI,NC
20170923BR,23,09,2017,BR,2,BR190,2,8,5,H,140,86,234,NA,MB,NO,NO,SI,NO,no
20170923BR,23,09,2017,BR,2,BR191,1,8,5,H,147,95,245,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR192,2,DL,1,M,119,70,171,23,MB,SI,NO,SI,SI,NC
20170923BR,23,09,2017,BR,2,BR193,2,2,2,H,124,85,212,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR194,1,DL,1,M,112,53,158,19,MB,SI,NO,SI,SI,NC
20170923BR,23,09,2017,BR,2,BR195,2,DL,1,H,106,77,194,NA,MB,SI,NO,SI,SI,no
20170923BR,23,09,2017,BR,2,BR196,1,8,5,H,145,95,257,NA,MB,SI,NO,SI,SI,no
20170923BR,23,09,2017,BR,2,BR197,1,2,2,H,139,91,218,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR198,1,8,5,H,142,96,260,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR199,1,8,5,H,148,87,217,NA,R,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR200,2,8,5,H,140,90,232,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR201,3,2,2,H,124,84,224,NA,MB,SI,NO,SI,SI,si
20170923BR,23,09,2017,BR,2,BR202,1,4,3,M,147,94,233,30,MB,SI,NO,SI,SI,NC
20170923BR,23,09,2017,BR,2,BR203,2,8,5,M,149,108,270,35,MB,SI,NO,SI,SI,NC
20170924BR,24,09,2017,BR,2,BR204,1,DL,1,H,75,42,108,NA,MB,SI,NO,SI,SI,no
20170930BR,30,09,2017,BR,2,BR205,2,4,3,H,130,84,215,NA,MB,SI,NO,SI,SI,si
20170930BR,30,09,2017,BR,2,BR206,2,4,3,H,123,84,217,NA,MB,SI,NO,SI,SI,si
20170930BR,30,09,2017,BR,2,BR207,3,8,5,M,110,68,175,20,MB,SI,NO,SI,SI,NC
20170930BR,30,09,2017,BR,2,BR208,4,8,5,M,116,68,172,21,MB,SI,NO,SI,SI,NC
20171121BR,21,11,2017,BR,2,BR209,1,6,4,M,128,NA,255,36,MB,SI,NO,SI,SI,NC
