Idsalida,d,m,y,zona,ycodif,WPT,impactos,dientes,edad,sexo,altocruz,anchocruz,largo,CE,nutri,abertura,extrmuni,fotogral,fotodent,preñez
20181008BR,08,10,2018,BR,3,BR265,5,4,3,M,137,87,249,30,MB,SI,NO,SI,SI,NC
20181009BR,09,10,2018,BR,3,BR266,3,DL,1,H,111,71,175,34,MB,SI,NO,SI,SI,no
20181009BR,09,10,2018,BR,3,BR267,2,2,2,M,126,107,234,34,MB,NO,NO,SI,SI,NC
20181108BR,08,11,2018,BR,3,BR268,3,8,5,M,135,92,235,33,MB,SI,NO,SI,SI,NC
20181109BR,09,11,2018,BR,3,BR269,1,8,5,H,143,93,250,NA,R,SI,NO,SI,SI,no
20181109BR,09,11,2018,BR,3,BR270,2,8,5,M,136,71,223,30,MB,SI,NO,SI,SI,NC
20181109BR,09,11,2018,BR,3,BR271,1,8,5,M,120,68,181,23,MB,SI,NO,SI,SI,NC
20181113BR,13,11,2018,BR,3,BR272,7,8,5,M,140,NA,274,NA,MB,SI,NO,SI,SI,NC
20181113BR,13,11,2018,BR,3,BR273,4,8,5,M,144,111,284,39,R,SI,NO,SI,SI,NC
20181113BR,13,11,2018,BR,3,BR274,1,8,5,H,134,57,230,NA,MB,SI,NO,SI,SI,si
20181113BR,13,11,2018,BR,3,BR275,1,DL,1,H,117,75,188,NA,MB,SI,NO,SI,SI,no
20181113BR,13,11,2018,BR,3,BR276,3,NA,NA,H,NA,NA,NA,NA,NA,,,,,
20181114BR,14,11,2018,BR,3,BR277,1,4,3,H,134,82,237,NA,MB,SI,NO,SI,SI,no
20181114BR,14,11,2018,BR,3,BR278,2,2,2,H,112,87,217,NA,MB,SI,NO,SI,SI,no
20181117BR,17,11,2018,BR,3,BR279,2,8,5,H,117,86,233,NA,MB,SI,NO,SI,SI,no
20181117BR,17,11,2018,BR,3,BR280,2,2,2,H,120,90,204,NA,MB,SI,NO,SI,SI,no
20181117BR,17,11,2018,BR,3,BR281,1,DL,1,H,122,73,161,NA,MB,SI,NO,SI,SI,no
