ID,y,m,d,zona,ycodif,cantidad,horas,km,CPUE,balas,nutri
BR04072019,2019,7,4,BR,4,1,NA,7.00,0.142857143,,
BR20072019,2019,7,20,BR,4,1,4.25,9.00,0.111111111,,
BR24072019,2019,7,24,BR,4,1,5.00,7.59,0.131752306,,
BR25072019,2019,7,25,BR,4,0,6.00,6.18,0,,
BR29072019,2019,7,29,BR,4,1,6.50,6.56,0.152439024,,
BR31072019,2019,7,31,BR,4,1,6.50,6.21,0.161030596,,
BR05082019,2019,8,5,BR,4,5,7.00,10.70,0.46728972,,
BR07082019,2019,8,7,BR,4,0,5.00,9.60,0,,
BR09082019,2019,8,9,BR,4,1,5.50,8.16,0.12254902,,
BR16082019,2019,8,16,BR,4,2,5.50,8.73,0.229095074,,
BR21082019,2019,8,21,BR,4,1,6.00,8.58,0.116550117,,
BR27082019,2019,8,27,BR,4,0,5.00,8.70,0,,
BR30082019,2019,8,30,BR,4,1,5.00,6.30,0.158730159,,
BR02092019,2019,9,2,BR,4,1,5.00,8.10,0.12345679,,
BR11092019,2019,9,11,BR,4,0,4.50,7.00,0,,
BR12092019,2019,9,12,BR,4,1,4.00,6.00,0.166666667,,
BR18092019,2019,9,18,BR,4,0,6.00,6.19,0,,
BR20092019,2019,9,20,BR,4,0,6.50,6.36,0,,
BR24092019,2019,9,24,BR,4,0,7.00,10.10,0,,
BR26092019,2019,9,26,BR,4,0,6.50,8.70,0,,
BR04102019,2019,10,4,BR,4,0,7.25,7.55,0,,
BR10102019,2019,10,10,BR,4,0,3.00,7.30,0,,
BR17102019,2019,10,17,BR,4,0,6.50,7.00,0,,
BR24102019,2019,10,24,BR,4,0,6.75,9.00,0,,
BR28102019,2019,10,28,BR,4,3,7.50,9.83,0.305188199,,
BR11112019,2019,11,11,BR,4,0,7.00,6.00,0,,
BR13112019,2019,11,13,BR,4,0,7.00,9.31,0,,
BR16112019,2019,11,16,BR,4,0,6.00,4.00,0,,
BR23122019,2019,12,23,BR,4,0,6.00,6.97,0,,
BR27122019,2019,12,27,BR,4,0,6.50,7.00,0,,
BR30122019,2019,12,30,BR,4,0,7.50,3.75,0,,
BR02012020,2020,1,2,BR,5,1,5.67,4.47,0.223713647,,
BR09012020,2020,1,9,BR,5,0,4.00,6.10,0,,
BR10012020,2020,1,10,BR,5,0,4.00,5.90,0,,
BR16012020,2020,1,16,BR,5,0,8.00,8.31,0,,
BR17012020,2020,1,17,BR,5,0,9.00,9.86,0,,
BR18012020,2020,1,18,BR,5,0,6.00,6.38,0,,
BR02032020,2020,3,2,BR,5,1,4.00,3.18,0.314465409,,
BR05032020,2020,3,5,BR,5,4,5.00,NA,NA,,
BSO21052017,2017,5,21,BSO,2,10,9.00,10.20,0.980392157,,
BSO22052018,2018,5,22,BSO,3,1,6.00,8.00,125,,
BSO25022018,2018,2,25,BSO,3,5,9.00,19.10,0.261780105,,
BSO26022018,2018,2,26,BSO,3,4,11.00,18.40,0.217391304,,
BSO24032018,2018,3,24,BSO,3,3,3.00,4.53,0.662251656,,
BSO25032018,2018,3,25,BSO,3,4,8.00,15.40,0.25974026,,
BSO18042018,2018,4,18,BSO,3,4,8.00,10.00,0.4,,
BSO19042018,2018,4,19,BSO,3,1,7.50,10.00,0.1,,
BSO20042018,2018,4,20,BSO,3,1,3.00,10.00,0.1,,
BSO20102018,2018,10,20,BSO,3,3,12.00,19.30,0.155440415,,
BSO21102018,2018,10,21,BSO,3,1,5.00,5.89,0.169779287,,
BSO25032019,2019,3,25,BSO,4,1,9.00,7.27,0.137551582,,
BSO26032019,2019,3,26,BSO,4,16,7.50,6.16,2.597402597,,
BSO25042019,2019,4,25,BSO,4,9,9.50,6.96,1.293103448,,
BSO08052019,2019,5,8,BSO,4,5,5.50,4.50,1.111111111,,
BSO17062019,2019,6,17,BSO,4,8,8.00,10.00,0.8,,
BSO27062019,2019,6,27,BSO,4,2,7.75,6.51,0.307219662,,
BSO02072019,2019,7,2,BSO,4,11,5.00,6.17,1.782820097,,
BSO04072019,2019,7,4,BSO,4,3,8.00,2.47,1.214574899,,
BSO12072019,2019,7,12,BSO,4,4,4.00,7.00,0.571428571,,
BSO18072019,2019,7,18,BSO,4,0,4.50,13.20,0,,
BSO12082019,2019,8,12,BSO,4,2,6.00,4.91,0.407331976,,
BSO14082019,2019,8,14,BSO,4,3,6.50,4.86,0.617283951,,
BSO20082019,2019,8,20,BSO,4,1,6.50,8.26,0.121065375,,
BSO28082019,2019,8,28,BSO,4,1,6.00,5.80,0.172413793,,
BSO29082019,2019,8,29,BSO,4,1,6.25,7.20,0.138888889,,
BSO04092019,2019,9,4,BSO,4,2,8.50,9.40,0.212765957,,
BSO05092019,2019,9,5,BSO,4,0,6.00,NA,NA,,
BSO06092019,2019,9,6,BSO,4,0,6.00,9.00,0,,
BSO23092019,2019,9,23,BSO,4,2,7.75,7.63,0.262123198,,
BSO30092019,2019,9,30,BSO,4,2,7.50,4.74,0.421940928,,
BSO02102019,2019,10,2,BSO,4,0,6.75,3.61,0,,
BSO15102019,2019,10,15,BSO,4,1,6.00,10.50,0.095238095,,
BSE10112017,2017,11,10,BSE,2,1,NA,NA,NA,,
BSE29102018,2018,10,29,BSE,3,4,NA,NA,NA,,
BSE10092019,2019,9,10,BSE,4,1,5.00,6.86,0.145772595,,
BSE08112019,2019,11,8,BSE,4,1,8.00,NA,NA,,
MSC23042018,2018,4,23,MSC,3,4,3.50,7.64,0.523560209,,
MSC10042019,2019,4,10,MSC,4,0,NA,NA,NA,,
MSC11042019,2019,4,11,MSC,4,1,NA,14,0.071428571,,
BSS28012018,2018,1,28,BSS,3,1,NA,1.7,0.588235294,,
BSS29012019,2019,1,29,BSS,4,0,NA,6.2,0,,
BSS24022019,2019,2,24,BSS,4,2,9.00,11,0.181818182,,
BSS25022019,2019,2,25,BSS,4,0,7.00,10,0,,
BSS26022019,2019,2,26,BSS,4,0,5.00,2.3,0,,
BSS10122019,2019,12,10,BSS,4,1,8.00,NA,NA,,
LF23032016,2016,3,23,LF,1,0,NA,NA,NA,,
LF10042016,2016,4,10,LF,1,0,NA,NA,NA,,
LF19102016,2016,10,19,LF,1,0,NA,NA,NA,,
LF17052017,2017,5,17,LF,2,0,NA,32.9,0,,
LF09112017,2017,11,9,LF,2,0,6.83,7.29,0,,
LF10112017,2017,11,10,LF,2,0,6.83,16.3,0,,
LF11112017,2017,11,11,LF,2,0,6.83,9.18,0,,
LF27012018,2018,1,27,LF,3,0,NA,10,0,,
LF28012018,2018,1,28,LF,3,0,NA,3.1,0,,
LF28012020,2020,1,28,LF,5,0,NA,13.8,0,,
LF29012020,2020,1,29,LF,5,0,NA,12,0,,
BSS2972021,2021,7,29,BSS,6,9,4.333333333,5,1.8,40,Muy Bueno
BSS2682021,2021,8,26,BSS,6,2,3,,,7,Muy Bueno
BR792021,2021,9,7,BR,6,14,5.5,,,52,Muy Bueno
BSO992021,2021,9,9,BSO,6,3,5,,,11,Muy Bueno
BR6102021,2021,10,6,BR,6,2,4.75,,,4,Muy Bueno
BR19102021,2021,10,19,BR,6,2,5.5,,,18,Muy Bueno
BR30102021,2021,10,30,BR,6,12,6,,,29,Muy Bueno
